Job Offers,Companys
Auxiliar contable,Empresa confidencial
Asesor integral de servicio ,ADECCO COLOMBIA S A
Ejecutivo de sede ,Empresa confidencial
Especialista activos fijos,ALQUERIA
Auxiliar de nomina -conciliaciones bancarias ,Empresa confidencial
Auxiliar de nomina ,Empresa confidencial
Analista contable,CONEXRED S.A
Asesor de cobranza externo,Banco de Occidente
Asistente de auditoria oil & gas ,KPMG
Auxiliar de monitoreo- fraude,Banco de Occidente
Analista contable contrato a 3 meses,Empresa confidencial
Auxiliar contable,Empresa confidencial
 asistente adminsitrativo,Empresa confidencial
Auxiliar contable,Empresa confidencial
Asistente administrativa,Empresa confidencial
Auxiliar de tesorería ,VALPS
Auxiliar contable y administrativo,Empresa confidencial
Asistente de cartera y facturación,ADECCO COLOMBIA S A
Estudiantes universitarios banco  convocatoria ,Empresa confidencial
